# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
4867	126.000	-0.912	-0.818	0.000	-78.808	-2.959
4883	126.000	-0.959	-0.597	0.000	-78.808	19.109
4899	126.000	-1.061	-0.984	0.000	-78.808	-19.605
4915	126.000	-1.000	-0.609	0.000	-78.808	17.895
4931	126.000	-0.963	-0.914	0.000	-78.808	-12.550
4947	126.000	-0.944	-0.662	0.000	-78.808	12.572
4963	126.000	-0.945	-0.598	0.000	-78.808	18.968
4979	126.000	-0.963	-0.664	0.000	-78.808	12.432
4995	126.000	-1.001	-0.642	0.000	-78.808	14.599
5011	126.000	-1.035	-0.981	0.000	-78.808	-19.265
5027	126.000	-0.989	-0.772	0.000	-78.808	1.567
5043	126.000	-0.999	-0.820	0.000	-78.808	-3.193
5059	126.000	-0.901	-0.716	0.000	-78.808	7.244
5075	126.000	-0.948	-0.573	0.000	-78.808	21.473
5091	126.000	-0.982	-0.874	0.000	-78.808	-8.571
5107	126.000	-0.948	-0.834	0.000	-78.808	-4.584
5123	126.000	-1.018	-0.805	0.000	-78.808	-1.681
5139	126.000	-1.006	-0.549	0.000	-78.808	23.914
5155	126.000	-1.009	-0.946	0.000	-78.808	-15.819
5171	126.000	-0.972	-0.678	0.000	-78.808	11.038
5187	126.000	-1.031	-0.747	0.000	-78.808	4.156
5203	126.000	-1.003	-0.772	0.000	-78.808	1.589
5219	126.000	-0.992	-0.832	0.000	-78.808	-4.406
5235	126.000	-0.963	-0.646	0.000	-78.808	14.223
5251	126.000	-0.941	-0.916	0.000	-78.808	-12.770
5267	126.000	-0.938	-0.680	0.000	-78.808	10.815
5283	126.000	-0.966	-1.008	0.000	-78.808	-22.000
5299	126.000	-0.715	-0.596	0.000	-78.808	19.239
5315	126.000	-1.014	-0.652	0.000	-78.808	13.591
5331	126.000	-0.982	-0.696	0.000	-78.808	9.257
5347	126.000	-1.000	-0.552	0.000	-78.809	23.616
5363	126.000	-0.990	-0.843	0.000	-78.808	-5.481
5379	126.000	-0.958	-0.638	0.000	-78.808	15.001
5395	126.000	-0.986	-0.878	0.000	-78.808	-8.964
5411	126.000	-0.953	-0.754	0.000	-78.808	3.418
5427	126.000	-0.939	-0.813	0.000	-78.808	-2.475
5443	126.000	-0.963	-0.634	0.000	-78.808	15.370
5459	126.000	-0.929	-0.966	0.000	-78.808	-17.816
5475	126.000	-0.980	-0.740	0.000	-78.808	4.823
5491	126.000	-0.956	-0.692	0.000	-78.808	9.623
5507	126.000	-0.960	-0.575	0.000	-78.808	21.275
5523	126.000	-0.928	-0.964	0.000	-78.808	-17.610
5539	126.000	-0.983	-0.588	0.000	-78.808	20.018
5555	126.000	-0.956	-0.812	0.000	-78.808	-2.346
5571	126.000	-0.968	-0.817	0.000	-78.808	-2.848
5587	126.000	-0.963	-0.712	0.000	-78.808	7.574
5603	126.000	-0.972	-0.765	0.000	-78.808	2.332
5619	126.000	-0.941	-0.622	0.000	-78.808	16.594
5635	126.000	-1.040	-0.959	0.000	-78.808	-17.107
5651	126.000	-0.819	-0.614	0.000	-78.808	17.396
5667	126.000	-1.009	-0.554	0.000	-78.808	23.374
5683	126.000	-0.972	-0.803	0.000	-78.808	-1.498
5699	126.000	-0.932	-0.637	0.000	-78.808	15.121
5715	126.000	-0.998	-1.001	0.000	-78.808	-21.337
5731	126.000	-0.608	-0.559	0.000	-78.808	22.950
5747	126.000	-0.616	-0.860	0.000	-78.808	-7.183
5763	126.000	-1.011	-0.840	0.000	-78.808	-5.148
5779	126.000	-1.027	-1.004	0.000	-78.808	-21.620
5795	126.000	-1.027	-0.784	0.000	-78.808	0.366
5811	126.000	-0.960	-0.824	0.000	-78.808	-3.635
5827	126.000	-0.812	-0.871	0.000	-78.808	-8.278
5843	126.000	-0.983	-0.668	0.000	-78.808	11.974
5859	126.000	-0.983	-0.933	0.000	-78.808	-14.537
5875	126.000	-0.980	-0.649	0.000	-78.808	13.936
5891	126.000	-0.945	-0.541	0.000	-78.808	24.743
5907	126.000	-0.905	-0.931	0.000	-78.808	-14.262
5923	126.000	-1.024	-1.016	0.000	-78.808	-22.744
5939	126.000	-0.929	-0.938	0.000	-78.808	-15.019
5955	126.000	-0.929	-0.974	0.000	-78.808	-18.639
5971	126.000	-0.983	-0.608	0.000	-78.808	17.980
5987	126.000	-0.972	-0.697	0.000	-78.808	9.105
6003	126.000	-0.948	-0.762	0.000	-78.808	2.607
6019	126.000	-0.983	-0.990	0.000	-78.808	-20.146
6035	126.000	-0.890	-0.670	0.000	-78.808	11.779
6051	126.000	-0.989	-0.923	0.000	-78.808	-13.484
6067	126.000	-0.900	-0.691	0.000	-78.808	9.692
6083	126.000	-1.019	-0.801	0.000	-78.808	-1.274
6099	126.000	-0.973	-0.766	0.000	-78.808	2.224
6115	126.000	-0.993	-0.791	0.000	-78.808	-0.286
6131	126.000	-1.020	-0.990	0.000	-78.808	-20.230
6147	126.000	-0.973	-0.818	0.000	-78.808	-2.947
6163	126.000	-0.981	-0.593	0.000	-78.808	19.466
6179	126.000	-1.011	-0.969	0.000	-78.808	-18.052
6195	126.000	-1.061	-1.009	0.000	-78.808	-22.063
6211	126.000	-1.016	-0.730	0.000	-78.808	5.778
6227	126.000	-0.888	-0.733	0.000	-78.808	5.520
6243	126.000	-0.608	-0.837	0.000	-78.808	-4.847
6259	126.000	-0.994	-0.645	0.000	-78.808	14.271
6275	126.000	-0.975	-0.601	0.000	-78.808	18.708
6291	126.000	-0.978	-1.001	0.000	-78.808	-21.305
6307	126.000	-1.006	-0.806	0.000	-78.808	-1.833
6323	126.000	-0.954	-0.542	0.000	-78.808	24.585
6339	126.000	-1.019	-0.888	0.000	-78.808	-10.032
6355	126.000	-1.006	-0.738	0.000	-78.808	5.048
6371	126.000	-0.982	-0.875	0.000	-78.808	-8.682
6387	126.000	-1.044	-1.028	0.000	-78.808	-23.954
6403	126.000	-1.000	-0.985	0.000	-78.808	-19.644
6419	126.000	-1.043	-0.850	0.000	-78.808	-6.151
6435	126.000	-0.974	-0.596	0.000	-78.808	19.205
6451	126.000	-0.992	-0.703	0.000	-78.808	8.492
6467	126.000	-0.976	-0.955	0.000	-78.808	-16.727
6483	126.000	-0.968	-0.683	0.000	-78.808	10.469
6499	126.000	-0.935	-0.591	0.000	-78.808	19.660
6515	126.000	-0.944	-0.868	0.000	-78.808	-7.974
6531	126.000	-1.061	-0.748	0.000	-78.808	3.982
6547	126.000	-0.986	-0.766	0.000	-78.808	2.218
6563	126.000	-1.005	-1.017	0.000	-78.808	-22.940
6579	126.000	-0.940	-0.580	0.000	-78.808	20.784
6595	126.000	-0.955	-0.595	0.000	-78.808	19.295
6611	126.000	-0.582	-0.628	0.000	-78.808	15.968
6627	126.000	-0.968	-0.744	0.000	-78.808	4.375
6643	126.000	-0.696	-0.965	0.000	-78.808	-17.649
6659	126.000	-0.981	-0.931	0.000	-78.808	-14.245
6675	126.000	-1.002	-0.869	0.000	-78.808	-8.114
6691	126.000	-0.961	-0.706	0.000	-78.808	8.235
6707	126.000	-0.864	-0.563	0.000	-78.808	22.517
6723	126.000	-0.932	-0.722	0.000	-78.808	6.567
6739	126.000	-0.968	-0.963	0.000	-78.808	-17.528
6755	126.000	-1.011	-0.821	0.000	-78.808	-3.304
6771	126.000	-0.959	-0.910	0.000	-78.808	-12.164
6787	126.000	-0.975	-0.761	0.000	-78.808	2.695
6803	126.000	-0.973	-0.892	0.000	-78.808	-10.426
6819	126.000	-0.930	-0.575	0.000	-78.808	21.289
6835	126.000	-0.981	-0.891	0.000	-78.808	-10.338
6851	126.000	-1.032	-0.993	0.000	-78.808	-20.505
6867	126.000	-1.026	-0.747	0.000	-78.808	4.127
6883	126.000	-0.850	-0.871	0.000	-78.808	-8.313
6899	126.000	-0.594	-0.717	0.000	-78.808	7.152
6915	126.000	-1.001	-1.018	0.000	-78.808	-23.039
6931	126.000	-1.002	-0.892	0.000	-78.808	-10.360
6947	126.000	-0.984	-0.726	0.000	-78.808	6.233
6963	126.000	-0.978	-0.825	0.000	-78.808	-3.690
6979	126.000	-1.004	-0.714	0.000	-78.808	7.396
6995	126.000	-1.042	-0.949	0.000	-78.808	-16.111
7011	126.000	-0.963	-0.735	0.000	-78.808	5.327
7027	126.000	-0.716	-0.705	0.000	-78.808	8.325
7043	126.000	-0.988	-0.721	0.000	-78.808	6.711
7059	126.000	-0.972	-0.592	0.000	-78.808	19.580
7075	126.000	-0.692	-0.560	0.000	-78.808	22.835
7091	126.000	-0.939	-0.552	0.000	-78.808	23.566
7107	126.000	-0.997	-0.781	0.000	-78.808	0.732
7123	126.000	-0.954	-0.650	0.000	-78.808	13.776
7139	126.000	-0.993	-0.975	0.000	-78.808	-18.712
7155	126.000	-0.992	-0.748	0.000	-78.808	3.986
7171	126.000	-0.998	-0.805	0.000	-78.808	-1.736
7187	126.000	-0.928	-0.609	0.000	-78.808	17.873
7203	126.000	-0.961	-0.633	0.000	-78.808	15.555
7219	126.000	-0.987	-0.970	0.000	-78.808	-18.143
